하하,57,198
카가,79,155
하타,47,153
자파,76,179
차사,77,180
타나,44,180
카아,58,186
파차,61,182
차사,87,182
카하,59,140
나바,69,140
아가,49,197
하차,93,183
라차,94,153
다카,95,178
자나,44,178
다다,61,145
마나,81,174
라자,51,192
다파,61,173
다나,70,146
다가,47,142
하다,69,172
차마,52,191
자나,99,146
아자,46,163
사바,59,154
타다,54,197
가나,58,178
파하,54,186
타하,86,174
차마,55,177
파마,49,147
타차,74,198
마사,95,188
나바,66,186
차자,84,192
카다,67,162
파카,44,157
바마,78,145
마자,63,147
마라,69,151
타하,96,148
바가,74,181
아카,81,143
라마,89,157
사마,68,151
파마,52,171
차아,86,180
아바,66,163
사다,41,142
파다,81,162
가차,85,147
마파,53,191
다타,68,172
타카,58,150
아타,48,149
자바,97,194
파바,57,197
아라,83,159
카자,42,189
라차,59,186
파하,96,142
마나,77,195
사다,87,144
나하,40,198
마사,63,141
라파,72,185
사파,74,148
차바,63,149
파아,82,148
타하,81,154
다카,65,145
나파,62,179
바타,60,157
라마,69,196
바하,66,158
라라,78,189
라아,43,193
타하,45,175
아타,69,196
바자,46,164
다다,79,192
나타,44,195
사자,63,199
바라,60,155
타하,72,195
라하,92,163
하나,57,144
바카,52,184
타파,69,154
라아,88,197
카가,91,191
라가,53,183
타자,80,146
바다,95,142
타자,60,168
다라,78,147
나차,96,158
바카,94,156
타바,70,169
아바,79,146
라다,63,155
라카,50,154
사사,75,148
파차,74,179
마마,81,161
카마,76,160
자자,52,184
가다,76,165
차자,45,160
마파,76,172
아나,86,174
파아,69,178
라다,55,166
가나,90,175
파자,92,198
가가,48,140
카파,59,160
나카,43,162
라타,99,143
아나,55,196
타사,95,152
하카,97,179
마사,72,182
마나,79,192
라라,89,148
차타,87,178
아사,56,183
라차,70,140
카마,51,163
차나,88,160
자마,65,190
하하,41,164
라마,91,185
파라,56,185
차차,90,153
차차,62,158
다자,59,143
사타,49,155
다아,83,160
아타,51,188
타자,53,199
카아,50,167
자아,63,190
바카,79,190
차마,83,147
파마,70,154
파가,48,150
자아,60,192
라자,98,141
나사,86,160
타카,69,167
하다,64,143
